Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
3.156283071E1,-1.328487396E0,3.845503235E0,-1.424946808E1
3.157287671E1,-1.810784454E0,4.727319489E0,-1.521181686E1
3.158292271E1,-3.376528473E0,5.188809814E0,-1.584290451E1
3.159296871E1,-3.433559875E0,5.134921875E0,-1.539593399E1
3.160301471E1,-3.756139069E0,7.593559113E0,-1.473086700E1
3.161306071E1,-5.562582550E0,8.966653748E0,-1.521945099E1
3.162310671E1,-4.766388245E0,7.127877502E0,-1.738859024E1
3.163315271E1,-3.053949280E0,6.910379791E0,-1.564112411E1
3.164319871E1,-5.065017242E0,7.922574921E0,-1.685001022E1
3.165324471E1,-4.392914886E0,6.797065430E0,-1.922721680E1
3.166329071E1,-1.403331757E0,6.318809967E0,-1.723441086E1
3.167333671E1,-1.844015350E0,6.593638458E0,-1.677666275E1
3.168338271E1,-2.735561371E0,7.386689301E0,-1.680495392E1
3.169342871E1,-1.222208405E0,7.260052643E0,-1.557945236E1
3.170347471E1,-2.291584625E0,6.396947479E0,-1.762360153E1
3.171352071E1,-3.226690063E0,6.371650085E0,-1.704535400E1
3.172356671E1,-1.926194458E0,5.616021423E0,-1.634885239E1
3.173361271E1,-4.865781555E0,5.691913605E0,-1.841485611E1
3.174365871E1,-4.955744476E0,6.774612122E0,-1.782927383E1
3.175370471E1,-4.142485657E0,7.698790283E0,-1.631651962E1
3.176375071E1,-6.438111877E0,6.774761810E0,-1.821756638E1
3.177379671E1,-8.429121552E0,9.367220764E0,-1.709669724E1
3.178384271E1,-3.243455200E0,8.991502075E0,-1.682141968E1
3.179388871E1,-6.459217987E0,7.502248993E0,-1.745220795E1
3.180393471E1,-5.650898895E0,7.940836945E0,-1.866109406E1
3.181398071E1,-5.742508392E0,7.657176819E0,-1.941118423E1
3.182402671E1,-4.425846405E0,7.698341217E0,-1.736883133E1
3.183407271E1,-2.849624176E0,8.525670776E0,-1.458641739E1
3.184411871E1,-3.780837708E0,7.980354767E0,-1.793719940E1
3.185416471E1,-4.108805695E0,7.791597290E0,-1.791624298E1
3.186421071E1,-7.499404907E-1,7.654482422E0,-1.740325974E1
3.187425671E1,-3.188369751E-2,5.615572357E0,-1.861528931E1
3.188430271E1,-2.813399506E0,5.631139984E0,-2.020872574E1
3.189434871E1,5.456153870E-1,5.693260803E0,-1.952015762E1
3.190439471E1,-5.709127808E-1,5.296585693E0,-1.882739822E1
3.191444071E1,-3.588038635E0,6.871760101E0,-1.811981964E1
3.192448671E1,-4.619992676E0,8.347092133E0,-1.906405609E1
3.193453271E1,-2.605332184E0,5.989644470E0,-1.904848846E1
3.194457871E1,-2.273771667E0,6.880891113E0,-1.475451782E1
3.195462471E1,-5.820645905E0,8.912316742E0,-1.673040894E1
3.196467071E1,-2.466271362E0,1.042162811E1,-1.911899185E1
3.197471671E1,1.856439514E0,8.503067780E0,-1.562316147E1
3.198476271E1,-5.164859619E0,9.924362183E0,-1.680510361E1
3.199480871E1,-3.504212952E0,1.181193695E1,-1.661619644E1
3.200485471E1,1.282832336E0,9.883048096E0,-1.789378967E1
3.201490071E1,-5.639821930E0,1.049662216E1,-1.595097977E1
3.202494671E1,-5.549559631E0,9.615404663E0,-2.130384842E1
3.203499271E1,-3.864064636E0,1.049033524E1,-2.112512009E1
3.204503871E1,-4.877008209E0,9.806108093E0,-1.742047394E1
3.205508471E1,-7.770191803E0,6.871909790E0,-2.019749908E1
3.206513071E1,-2.652933197E0,5.334456940E0,-2.035107971E1
3.207517671E1,-7.636519775E0,9.446555786E0,-1.616159180E1
3.208522271E1,-5.025349731E0,6.415508881E0,-2.066827011E1
3.209526871E1,-5.226381683E0,7.072043610E0,-1.683489166E1
3.210531471E1,-6.288423157E0,6.875053253E0,-2.020797729E1
3.211536071E1,-7.650590515E0,7.324269104E0,-1.942435684E1
3.212540671E1,-5.182822266E0,8.749455414E0,-1.824241470E1
3.213545271E1,-8.122109985E0,9.082812195E0,-1.994302826E1
3.214549871E1,-7.450456696E0,1.046488815E1,-1.855511444E1
3.215554471E1,-7.028334503E0,7.921826477E0,-2.080059494E1
3.216559071E1,-9.280101929E0,7.940687256E0,-2.029359924E1
3.217563771E1,-5.988297272E0,1.045785278E1,-1.762539780E1
3.218568371E1,-7.431595917E0,9.867779846E0,-1.954096436E1
3.219572971E1,-7.151228943E0,8.389903107E0,-1.846036148E1
3.220577571E1,-5.664221191E0,8.777297516E0,-1.698173630E1
